id=1, plug=WHITE DIAMOND, leftSocket=YELLOW TRIANGLE, rightSocket=BLUE HEXAGON, data=-------------------3-
id=18, plug=BLUE SQUARE, leftSocket=MAGENTA TRIANGLE, rightSocket=MAGENTA STAR, data=----1------3---------
id=19, plug=MAGENTA SQUARE, leftSocket=MAGENTA TRIANGLE, rightSocket=BLUE OCTAGON, data=-----------------2---
id=20, plug=BLUE STAR, leftSocket=BLUE HEXAGON, rightSocket=RED SQUARE, data=---1------3-------2--
id=21, plug=MAGENTA PENTAGON, leftSocket=YELLOW OCTAGON, rightSocket=GREEN OCTAGON, data=---1------3----------
id=22, plug=YELLOW DIAMOND, leftSocket=MAGENTA STAR, rightSocket=RED HEXAGON, data=---1------3-------2--
id=23, plug=MAGENTA OCTAGON, leftSocket=RED SQUARE, rightSocket=BLACK TRIANGLE, data=-1------3------------
id=24, plug=BLUE SQUARE, leftSocket=GREEN SQUARE, rightSocket=GREEN OCTAGON, data=-1------3------------
id=25, plug=BLUE SQUARE, leftSocket=RED STAR, rightSocket=WHITE DIAMOND, data=----1------3--------1
id=26, plug=MAGENTA STAR, leftSocket=WHITE PENTAGON, rightSocket=WHITE PENTAGON, data=-1-1----3-3-----3---1
id=27, plug=GREEN PENTAGON, leftSocket=BLACK CIRCLE, rightSocket=GREEN HEXAGON, data=-1------3------------
id=28, plug=GREEN HEXAGON, leftSocket=YELLOW OCTAGON, rightSocket=RED PENTAGON, data=-1------3------------
id=29, plug=MAGENTA CIRCLE, leftSocket=BLUE HEXAGON, rightSocket=RED OCTAGON, data=----1------3---------
id=30, plug=MAGENTA STAR, leftSocket=YELLOW OCTAGON, rightSocket=WHITE STAR, data=---1------3--------1-
id=31, plug=MAGENTA DIAMOND, leftSocket=MAGENTA OCTAGON, rightSocket=RED HEXAGON, data=----1------3---------
id=32, plug=WHITE CIRCLE, leftSocket=MAGENTA OCTAGON, rightSocket=WHITE SQUARE, data=-----------------2---
id=33, plug=YELLOW OCTAGON, leftSocket=RED CIRCLE, rightSocket=MAGENTA DIAMOND, data=---1------3----------
id=34, plug=GREEN HEXAGON, leftSocket=YELLOW PENTAGON, rightSocket=BLUE SQUARE, data=----1------3--------1
id=35, plug=RED CIRCLE, leftSocket=BLACK OCTAGON, rightSocket=WHITE TRIANGLE, data=---1------3---------1
id=36, plug=RED OCTAGON, leftSocket=BLUE TRIANGLE, rightSocket=BLACK HEXAGON, data=-------1------3------
id=37, plug=WHITE OCTAGON, leftSocket=GREEN OCTAGON, rightSocket=CYAN STAR, data=---------------------
id=38, plug=WHITE HEXAGON, leftSocket=YELLOW DIAMOND, rightSocket=BLACK OCTAGON, data=----1------3---------
id=39, plug=BLUE DIAMOND, leftSocket=CYAN DIAMOND, rightSocket=MAGENTA SQUARE, data=------1------3-------
id=40, plug=GREEN TRIANGLE, leftSocket=GREEN TRIANGLE, rightSocket=WHITE OCTAGON, data=-----1------3-------1
id=41, plug=GREEN HEXAGON, leftSocket=GREEN OCTAGON, rightSocket=GREEN HEXAGON, data=----1------3-------1-
id=42, plug=BLACK TRIANGLE, leftSocket=YELLOW HEXAGON, rightSocket=BLUE HEXAGON, data=---------------------
id=43, plug=YELLOW STAR, leftSocket=BLACK DIAMOND, rightSocket=WHITE SQUARE, data=---------------------
id=44, plug=WHITE SQUARE, leftSocket=CYAN PENTAGON, rightSocket=CYAN CIRCLE, data=--1-1----3-3----3---1
id=45, plug=CYAN PENTAGON, leftSocket=GREEN PENTAGON, rightSocket=CYAN OCTAGON, data=--1------3-----------
id=46, plug=WHITE DIAMOND, leftSocket=WHITE STAR, rightSocket=WHITE CIRCLE, data=-----1------3--------
id=47, plug=BLACK DIAMOND, leftSocket=CYAN CIRCLE, rightSocket=WHITE PENTAGON, data=-------1------3------
id=48, plug=MAGENTA PENTAGON, leftSocket=MAGENTA SQUARE, rightSocket=WHITE DIAMOND, data=----1-1----3-3------1
id=49, plug=GREEN PENTAGON, leftSocket=BLUE SQUARE, rightSocket=RED OCTAGON, data=1-1----3-3----------1
id=50, plug=WHITE PENTAGON, leftSocket=CYAN OCTAGON, rightSocket=BLACK DIAMOND, data=---1-1----3-3-------1
id=51, plug=CYAN PENTAGON, leftSocket=GREEN PENTAGON, rightSocket=BLUE STAR, data=--1------3-----------
id=52, plug=GREEN PENTAGON, leftSocket=MAGENTA HEXAGON, rightSocket=BLACK SQUARE, data=----1------3---------
id=53, plug=CYAN CIRCLE, leftSocket=CYAN STAR, rightSocket=BLACK DIAMOND, data=---------------------
id=54, plug=BLACK CIRCLE, leftSocket=BLUE STAR, rightSocket=CYAN OCTAGON, data=---------------------
id=55, plug=BLACK CIRCLE, leftSocket=GREEN OCTAGON, rightSocket=BLACK OCTAGON, data=---------------------
id=56, plug=MAGENTA PENTAGON, leftSocket=WHITE STAR, rightSocket=BLUE TRIANGLE, data=---------------------
id=57, plug=GREEN DIAMOND, leftSocket=RED HEXAGON, rightSocket=YELLOW HEXAGON, data=------1------3-------
id=58, plug=WHITE CIRCLE, leftSocket=MAGENTA HEXAGON, rightSocket=RED DIAMOND, data=---1-1----3-3-------1
id=59, plug=CYAN OCTAGON, leftSocket=YELLOW TRIANGLE, rightSocket=BLACK PENTAGON, data=----1------3-------1-
id=60, plug=MAGENTA STAR, leftSocket=MAGENTA DIAMOND, rightSocket=RED TRIANGLE, data=---------------------
id=61, plug=YELLOW CIRCLE, leftSocket=MAGENTA HEXAGON, rightSocket=BLUE HEXAGON, data=----1------3------2--
id=62, plug=BLACK STAR, leftSocket=WHITE OCTAGON, rightSocket=CYAN STAR, data=-----1------3-------1
id=63, plug=GREEN SQUARE, leftSocket=YELLOW OCTAGON, rightSocket=RED HEXAGON, data=---1------3----------
id=64, plug=GREEN PENTAGON, leftSocket=RED STAR, rightSocket=GREEN SQUARE, data=----1------3------2--
id=65, plug=MAGENTA TRIANGLE, leftSocket=RED TRIANGLE, rightSocket=WHITE PENTAGON, data=--1-1----3-3----3---1
id=66, plug=RED TRIANGLE, leftSocket=YELLOW TRIANGLE, rightSocket=BLUE TRIANGLE, data=-----1------3-------1
id=67, plug=RED SQUARE, leftSocket=BLACK CIRCLE, rightSocket=WHITE DIAMOND, data=--1------3-----------
id=68, plug=RED STAR, leftSocket=GREEN SQUARE, rightSocket=BLACK STAR, data=-----1------3--------
id=69, plug=RED OCTAGON, leftSocket=RED HEXAGON, rightSocket=CYAN DIAMOND, data=-----1------3--------
id=70, plug=YELLOW OCTAGON, leftSocket=BLUE CIRCLE, rightSocket=WHITE CIRCLE, data=--1-1----3-3--------1
id=71, plug=YELLOW STAR, leftSocket=RED DIAMOND, rightSocket=GREEN TRIANGLE, data=----1------3---------
id=72, plug=YELLOW HEXAGON, leftSocket=WHITE CIRCLE, rightSocket=GREEN TRIANGLE, data=----1------3---------
id=73, plug=YELLOW STAR, leftSocket=WHITE HEXAGON, rightSocket=MAGENTA OCTAGON, data=--1------3-----------
id=74, plug=YELLOW PENTAGON, leftSocket=YELLOW SQUARE, rightSocket=GREEN HEXAGON, data=-----------------2---
id=75, plug=RED HEXAGON, leftSocket=BLUE OCTAGON, rightSocket=BLUE OCTAGON, data=---------------------
id=76, plug=CYAN CIRCLE, leftSocket=BLUE DIAMOND, rightSocket=BLACK STAR, data=---1------3--------1-
id=77, plug=GREEN CIRCLE, leftSocket=CYAN STAR, rightSocket=BLACK SQUARE, data=---------------------
id=78, plug=WHITE HEXAGON, leftSocket=CYAN STAR, rightSocket=RED PENTAGON, data=---------------------
id=79, plug=BLACK HEXAGON, leftSocket=BLACK CIRCLE, rightSocket=BLUE DIAMOND, data=---------------------
id=80, plug=RED CIRCLE, leftSocket=CYAN DIAMOND, rightSocket=RED SQUARE, data=----1------3---------
id=81, plug=RED CIRCLE, leftSocket=GREEN SQUARE, rightSocket=WHITE DIAMOND, data=---1-1----3-3-------1
id=82, plug=WHITE CIRCLE, leftSocket=BLUE TRIANGLE, rightSocket=CYAN STAR, data=---------------------
id=83, plug=GREEN TRIANGLE, leftSocket=WHITE PENTAGON, rightSocket=MAGENTA TRIANGLE, data=------1------3-------
id=84, plug=GREEN PENTAGON, leftSocket=CYAN TRIANGLE, rightSocket=GREEN SQUARE, data=------1------3-------
id=85, plug=CYAN CIRCLE, leftSocket=YELLOW PENTAGON, rightSocket=MAGENTA OCTAGON, data=----1------3--------1
id=86, plug=BLUE HEXAGON, leftSocket=YELLOW TRIANGLE, rightSocket=MAGENTA OCTAGON, data=----1------3---------
id=87, plug=BLUE OCTAGON, leftSocket=MAGENTA CIRCLE, rightSocket=RED SQUARE, data=---1------3-------2--
id=88, plug=MAGENTA PENTAGON, leftSocket=BLACK DIAMOND, rightSocket=YELLOW OCTAGON, data=-1------3------------
id=89, plug=BLUE OCTAGON, leftSocket=CYAN CIRCLE, rightSocket=CYAN TRIANGLE, data=-1------3------------
id=90, plug=GREEN TRIANGLE, leftSocket=MAGENTA CIRCLE, rightSocket=BLUE OCTAGON, data=----1------3--------1
id=91, plug=WHITE STAR, leftSocket=BLACK PENTAGON, rightSocket=WHITE STAR, data=-----1------3--------
id=92, plug=GREEN TRIANGLE, leftSocket=GREEN STAR, rightSocket=WHITE HEXAGON, data=-1-1----3-3-----3---1
id=93, plug=BLACK TRIANGLE, leftSocket=CYAN TRIANGLE, rightSocket=YELLOW SQUARE, data=-1-1----3-3-----3---1
id=94, plug=WHITE SQUARE, leftSocket=GREEN HEXAGON, rightSocket=RED STAR, data=----1------3---------
id=95, plug=RED HEXAGON, leftSocket=YELLOW HEXAGON, rightSocket=GREEN DIAMOND, data=---1------3-------2--
id=96, plug=WHITE SQUARE, leftSocket=CYAN PENTAGON, rightSocket=YELLOW OCTAGON, data=-----------------2---
id=97, plug=MAGENTA TRIANGLE, leftSocket=YELLOW CIRCLE, rightSocket=BLUE SQUARE, data=---1------3---------1
id=98, plug=MAGENTA SQUARE, leftSocket=CYAN OCTAGON, rightSocket=YELLOW DIAMOND, data=---1------3----------
id=99, plug=BLACK HEXAGON, leftSocket=YELLOW HEXAGON, rightSocket=BLUE TRIANGLE, data=-----------------2---
id=100, plug=MAGENTA TRIANGLE, leftSocket=YELLOW CIRCLE, rightSocket=WHITE HEXAGON, data=-1------3------------
id=101, plug=WHITE OCTAGON, leftSocket=CYAN TRIANGLE, rightSocket=CYAN CIRCLE, data=---1------3----------
id=102, plug=MAGENTA TRIANGLE, leftSocket=RED TRIANGLE, rightSocket=CYAN CIRCLE, data=---------------------
id=103, plug=GREEN STAR, leftSocket=WHITE OCTAGON, rightSocket=WHITE PENTAGON, data=----1------3--------1
id=104, plug=WHITE STAR, leftSocket=CYAN STAR, rightSocket=RED PENTAGON, data=-1------3------------
id=105, plug=CYAN DIAMOND, leftSocket=YELLOW TRIANGLE, rightSocket=YELLOW CIRCLE, data=---------------------
id=106, plug=WHITE SQUARE, leftSocket=CYAN PENTAGON, rightSocket=GREEN CIRCLE, data=---1------3--------1-
id=107, plug=YELLOW TRIANGLE, leftSocket=BLUE DIAMOND, rightSocket=GREEN SQUARE, data=---------------------
id=108, plug=WHITE DIAMOND, leftSocket=WHITE CIRCLE, rightSocket=RED STAR, data=-------1------3------
id=109, plug=YELLOW PENTAGON, leftSocket=BLACK CIRCLE, rightSocket=BLACK DIAMOND, data=-----1------3-------1
id=110, plug=BLUE DIAMOND, leftSocket=YELLOW CIRCLE, rightSocket=WHITE OCTAGON, data=----1------3-------1-
id=111, plug=RED STAR, leftSocket=YELLOW SQUARE, rightSocket=WHITE OCTAGON, data=-------------------3-
id=112, plug=WHITE DIAMOND, leftSocket=GREEN TRIANGLE, rightSocket=BLUE DIAMOND, data=-------1------3------
id=113, plug=RED SQUARE, leftSocket=GREEN HEXAGON, rightSocket=GREEN PENTAGON, data=----1-1----3-3------1
id=114, plug=YELLOW CIRCLE, leftSocket=GREEN PENTAGON, rightSocket=WHITE CIRCLE, data=----1------3------2--
id=115, plug=CYAN TRIANGLE, leftSocket=GREEN CIRCLE, rightSocket=YELLOW DIAMOND, data=-----1------3--------
id=116, plug=BLUE PENTAGON, leftSocket=BLUE HEXAGON, rightSocket=WHITE SQUARE, data=-----------------2---
id=117, plug=BLUE SQUARE, leftSocket=YELLOW PENTAGON, rightSocket=WHITE STAR, data=--1------3-----------
id=118, plug=YELLOW DIAMOND, leftSocket=BLUE PENTAGON, rightSocket=CYAN OCTAGON, data=----1------3---------
id=119, plug=WHITE HEXAGON, leftSocket=BLUE HEXAGON, rightSocket=GREEN TRIANGLE, data=--1------3-----------
id=120, plug=YELLOW TRIANGLE, leftSocket=BLUE DIAMOND, rightSocket=YELLOW SQUARE, data=--1-1----3-3----3---1
id=121, plug=WHITE OCTAGON, leftSocket=RED OCTAGON, rightSocket=WHITE SQUARE, data=----1------3-------1-
id=122, plug=MAGENTA PENTAGON, leftSocket=GREEN STAR, rightSocket=CYAN SQUARE, data=--1------3-----------
id=123, plug=BLACK SQUARE, leftSocket=RED PENTAGON, rightSocket=BLUE TRIANGLE, data=--1-1----3-3----3---1
id=124, plug=BLACK OCTAGON, leftSocket=BLUE DIAMOND, rightSocket=MAGENTA TRIANGLE, data=----1------3------2--
id=125, plug=CYAN STAR, leftSocket=MAGENTA STAR, rightSocket=CYAN TRIANGLE, data=-----1------3--------
id=126, plug=WHITE DIAMOND, leftSocket=YELLOW TRIANGLE, rightSocket=MAGENTA OCTAGON, data=-----1------3-------1
id=127, plug=BLACK SQUARE, leftSocket=BLACK TRIANGLE, rightSocket=BLUE CIRCLE, data=-----1------3--------
id=128, plug=BLUE CIRCLE, leftSocket=WHITE CIRCLE, rightSocket=BLUE TRIANGLE, data=-----------------2---
id=129, plug=GREEN TRIANGLE, leftSocket=CYAN CIRCLE, rightSocket=YELLOW PENTAGON, data=--1------3-----------
id=130, plug=BLUE PENTAGON, leftSocket=CYAN STAR, rightSocket=RED STAR, data=----1------3---------
id=131, plug=BLACK DIAMOND, leftSocket=WHITE DIAMOND, rightSocket=GREEN STAR, data=-----1------3-------1
