id=1, plug=BLUE STAR, leftSocket=BLUE OCTAGON, rightSocket=BLACK STAR, data=--------------------1
id=21, plug=MAGENTA HEXAGON, leftSocket=CYAN SQUARE, rightSocket=MAGENTA OCTAGON, data=1--------------------
id=22, plug=BLACK PENTAGON, leftSocket=BLUE CIRCLE, rightSocket=BLUE DIAMOND, data=---------------------
id=23, plug=BLUE OCTAGON, leftSocket=CYAN STAR, rightSocket=CYAN OCTAGON, data=1------3------2------
id=24, plug=RED OCTAGON, leftSocket=MAGENTA HEXAGON, rightSocket=GREEN SQUARE, data=-----3------2--------
id=25, plug=GREEN STAR, leftSocket=RED SQUARE, rightSocket=WHITE HEXAGON, data=----3------2--------1
id=26, plug=CYAN STAR, leftSocket=GREEN PENTAGON, rightSocket=GREEN SQUARE, data=---------------------
id=27, plug=YELLOW HEXAGON, leftSocket=MAGENTA SQUARE, rightSocket=BLACK PENTAGON, data=-----3------2-------1
id=28, plug=RED TRIANGLE, leftSocket=WHITE TRIANGLE, rightSocket=GREEN STAR, data=---------------------
id=29, plug=GREEN OCTAGON, leftSocket=BLACK SQUARE, rightSocket=GREEN PENTAGON, data=---------3-3----2-2-1
id=30, plug=WHITE STAR, leftSocket=YELLOW DIAMOND, rightSocket=CYAN SQUARE, data=--------------------1
id=31, plug=MAGENTA SQUARE, leftSocket=RED DIAMOND, rightSocket=BLACK OCTAGON, data=----3------2--------1
id=32, plug=CYAN HEXAGON, leftSocket=BLACK STAR, rightSocket=RED DIAMOND, data=1--------------------
id=33, plug=MAGENTA STAR, leftSocket=CYAN CIRCLE, rightSocket=BLACK TRIANGLE, data=--------------------1
id=34, plug=BLACK SQUARE, leftSocket=GREEN OCTAGON, rightSocket=RED STAR, data=1------3------2------
id=35, plug=BLACK CIRCLE, leftSocket=GREEN PENTAGON, rightSocket=WHITE HEXAGON, data=--------------------1
id=36, plug=WHITE CIRCLE, leftSocket=RED PENTAGON, rightSocket=WHITE TRIANGLE, data=1------3-3----2-2----
id=37, plug=GREEN DIAMOND, leftSocket=MAGENTA STAR, rightSocket=MAGENTA OCTAGON, data=------3-3----2-2-----
id=38, plug=BLACK CIRCLE, leftSocket=BLACK SQUARE, rightSocket=MAGENTA CIRCLE, data=---------------------
id=39, plug=RED OCTAGON, leftSocket=WHITE STAR, rightSocket=BLACK STAR, data=1--------------------
id=40, plug=YELLOW DIAMOND, leftSocket=BLACK PENTAGON, rightSocket=RED DIAMOND, data=------3-3----2-2-----
id=41, plug=GREEN CIRCLE, leftSocket=BLACK HEXAGON, rightSocket=GREEN PENTAGON, data=-----3------2-------1
id=42, plug=RED TRIANGLE, leftSocket=BLACK CIRCLE, rightSocket=YELLOW DIAMOND, data=-----3------2--------
id=43, plug=WHITE CIRCLE, leftSocket=RED STAR, rightSocket=RED CIRCLE, data=---------------------
id=44, plug=WHITE OCTAGON, leftSocket=WHITE TRIANGLE, rightSocket=CYAN OCTAGON, data=-------3-3----2-2----
id=45, plug=BLACK HEXAGON, leftSocket=RED SQUARE, rightSocket=YELLOW SQUARE, data=---------------------
id=46, plug=BLUE STAR, leftSocket=MAGENTA PENTAGON, rightSocket=YELLOW TRIANGLE, data=1-------------------1
id=47, plug=GREEN TRIANGLE, leftSocket=WHITE STAR, rightSocket=BLACK CIRCLE, data=--------------------1
id=48, plug=MAGENTA STAR, leftSocket=GREEN CIRCLE, rightSocket=GREEN CIRCLE, data=--------------------1
id=49, plug=RED PENTAGON, leftSocket=WHITE HEXAGON, rightSocket=BLUE HEXAGON, data=--------------------1
id=50, plug=YELLOW STAR, leftSocket=WHITE CIRCLE, rightSocket=CYAN HEXAGON, data=--------------------1
id=51, plug=WHITE OCTAGON, leftSocket=CYAN DIAMOND, rightSocket=CYAN PENTAGON, data=------3--3---2--2----
id=52, plug=CYAN DIAMOND, leftSocket=YELLOW HEXAGON, rightSocket=WHITE TRIANGLE, data=1------3------2------
id=53, plug=WHITE PENTAGON, leftSocket=BLACK OCTAGON, rightSocket=WHITE PENTAGON, data=1--------------------
id=54, plug=GREEN SQUARE, leftSocket=RED HEXAGON, rightSocket=CYAN DIAMOND, data=---------------------
id=55, plug=BLACK CIRCLE, leftSocket=WHITE SQUARE, rightSocket=WHITE DIAMOND, data=1-------------------1
id=56, plug=RED DIAMOND, leftSocket=WHITE TRIANGLE, rightSocket=MAGENTA SQUARE, data=1--------------------
id=57, plug=YELLOW HEXAGON, leftSocket=BLUE HEXAGON, rightSocket=BLACK STAR, data=----3------2--------1
id=58, plug=GREEN STAR, leftSocket=WHITE DIAMOND, rightSocket=WHITE HEXAGON, data=-----3------2-------1
id=59, plug=BLACK OCTAGON, leftSocket=GREEN OCTAGON, rightSocket=GREEN DIAMOND, data=---------------------
id=60, plug=BLACK CIRCLE, leftSocket=CYAN DIAMOND, rightSocket=BLUE DIAMOND, data=1-----3-3----2-2-----
id=61, plug=RED HEXAGON, leftSocket=GREEN DIAMOND, rightSocket=CYAN DIAMOND, data=---------------------
id=62, plug=BLUE OCTAGON, leftSocket=GREEN CIRCLE, rightSocket=MAGENTA PENTAGON, data=------3--3---2--2---1
id=63, plug=WHITE HEXAGON, leftSocket=RED PENTAGON, rightSocket=CYAN TRIANGLE, data=-----3-3----2-2-----1
id=64, plug=CYAN TRIANGLE, leftSocket=RED TRIANGLE, rightSocket=GREEN DIAMOND, data=---------------------
id=65, plug=WHITE OCTAGON, leftSocket=RED DIAMOND, rightSocket=BLACK STAR, data=-1-----------------1-
id=66, plug=GREEN HEXAGON, leftSocket=BLACK SQUARE, rightSocket=CYAN OCTAGON, data=---------------------
id=67, plug=MAGENTA SQUARE, leftSocket=BLACK PENTAGON, rightSocket=CYAN SQUARE, data=------3-3----2-2----1
id=68, plug=BLUE CIRCLE, leftSocket=RED STAR, rightSocket=MAGENTA OCTAGON, data=-----3------2--------
id=69, plug=BLUE TRIANGLE, leftSocket=GREEN OCTAGON, rightSocket=RED OCTAGON, data=1--33-----22---------
id=70, plug=WHITE TRIANGLE, leftSocket=GREEN OCTAGON, rightSocket=CYAN TRIANGLE, data=-------------------1-
id=71, plug=GREEN CIRCLE, leftSocket=BLACK STAR, rightSocket=WHITE OCTAGON, data=---33-----22---------
id=72, plug=CYAN OCTAGON, leftSocket=YELLOW STAR, rightSocket=CYAN TRIANGLE, data=---33-----22--------1
id=73, plug=GREEN DIAMOND, leftSocket=YELLOW PENTAGON, rightSocket=CYAN PENTAGON, data=-----3-3----2-2-----1
id=74, plug=BLACK HEXAGON, leftSocket=BLUE CIRCLE, rightSocket=YELLOW HEXAGON, data=--------------------1
id=75, plug=CYAN SQUARE, leftSocket=MAGENTA STAR, rightSocket=YELLOW PENTAGON, data=--------------------1
id=76, plug=WHITE DIAMOND, leftSocket=YELLOW OCTAGON, rightSocket=YELLOW SQUARE, data=1-------------------1
id=77, plug=BLUE OCTAGON, leftSocket=RED TRIANGLE, rightSocket=BLACK PENTAGON, data=--------------------1
id=78, plug=GREEN STAR, leftSocket=RED SQUARE, rightSocket=RED DIAMOND, data=---------------------
id=79, plug=MAGENTA TRIANGLE, leftSocket=MAGENTA DIAMOND, rightSocket=CYAN DIAMOND, data=------3-3----2-2-----
id=80, plug=GREEN PENTAGON, leftSocket=CYAN TRIANGLE, rightSocket=BLACK CIRCLE, data=-----3------2-------1
id=81, plug=RED PENTAGON, leftSocket=WHITE TRIANGLE, rightSocket=MAGENTA OCTAGON, data=1---3-3----2-2-------
id=82, plug=BLUE SQUARE, leftSocket=BLUE PENTAGON, rightSocket=MAGENTA CIRCLE, data=1--------------------
id=83, plug=GREEN DIAMOND, leftSocket=YELLOW TRIANGLE, rightSocket=GREEN STAR, data=1--------------------
id=84, plug=MAGENTA SQUARE, leftSocket=BLUE SQUARE, rightSocket=GREEN CIRCLE, data=---------------------
id=85, plug=RED DIAMOND, leftSocket=MAGENTA STAR, rightSocket=BLACK CIRCLE, data=--------------------1
id=86, plug=CYAN DIAMOND, leftSocket=BLUE PENTAGON, rightSocket=RED STAR, data=----3------2--------1
id=87, plug=CYAN CIRCLE, leftSocket=BLUE OCTAGON, rightSocket=YELLOW CIRCLE, data=1------3------2------
id=88, plug=RED PENTAGON, leftSocket=BLACK CIRCLE, rightSocket=WHITE DIAMOND, data=1----3-3----2-2------
id=89, plug=BLACK SQUARE, leftSocket=GREEN HEXAGON, rightSocket=GREEN SQUARE, data=---------------------
id=90, plug=MAGENTA TRIANGLE, leftSocket=CYAN SQUARE, rightSocket=BLACK STAR, data=---------------------
id=91, plug=CYAN CIRCLE, leftSocket=BLUE STAR, rightSocket=BLACK HEXAGON, data=-----3------2--------
id=92, plug=MAGENTA DIAMOND, leftSocket=WHITE CIRCLE, rightSocket=BLUE OCTAGON, data=---------------------
id=93, plug=GREEN PENTAGON, leftSocket=GREEN DIAMOND, rightSocket=CYAN DIAMOND, data=---------------------
id=94, plug=YELLOW CIRCLE, leftSocket=WHITE OCTAGON, rightSocket=WHITE STAR, data=--------------------1
id=95, plug=WHITE PENTAGON, leftSocket=YELLOW STAR, rightSocket=CYAN STAR, data=-----3-3----2-2------
id=96, plug=RED SQUARE, leftSocket=BLACK PENTAGON, rightSocket=YELLOW DIAMOND, data=------3-3----2-2-----
id=97, plug=CYAN OCTAGON, leftSocket=GREEN OCTAGON, rightSocket=YELLOW HEXAGON, data=1------3------2------
id=98, plug=BLACK HEXAGON, leftSocket=BLUE CIRCLE, rightSocket=GREEN DIAMOND, data=-----3------2--------
id=99, plug=WHITE TRIANGLE, leftSocket=RED TRIANGLE, rightSocket=MAGENTA CIRCLE, data=1--------------------
id=100, plug=WHITE OCTAGON, leftSocket=MAGENTA CIRCLE, rightSocket=BLUE CIRCLE, data=-----3------2-------1
id=101, plug=RED OCTAGON, leftSocket=BLUE OCTAGON, rightSocket=BLACK STAR, data=---------------------
id=102, plug=GREEN PENTAGON, leftSocket=WHITE HEXAGON, rightSocket=BLUE TRIANGLE, data=1--------------------
id=103, plug=GREEN STAR, leftSocket=MAGENTA CIRCLE, rightSocket=WHITE STAR, data=------3-3----2-2----1
id=104, plug=CYAN DIAMOND, leftSocket=BLACK STAR, rightSocket=BLUE HEXAGON, data=--------------------1
id=105, plug=WHITE STAR, leftSocket=MAGENTA STAR, rightSocket=BLUE STAR, data=---------------------
id=106, plug=CYAN PENTAGON, leftSocket=BLUE DIAMOND, rightSocket=WHITE DIAMOND, data=1--------------------
id=107, plug=GREEN HEXAGON, leftSocket=YELLOW STAR, rightSocket=CYAN TRIANGLE, data=--------------------1
id=108, plug=BLACK STAR, leftSocket=CYAN SQUARE, rightSocket=MAGENTA PENTAGON, data=------3--3---2--2---1
id=109, plug=RED CIRCLE, leftSocket=GREEN PENTAGON, rightSocket=BLUE SQUARE, data=----3------2--------1
id=110, plug=BLUE TRIANGLE, leftSocket=YELLOW CIRCLE, rightSocket=YELLOW SQUARE, data=------3-3----2-2-----
id=111, plug=BLUE CIRCLE, leftSocket=RED DIAMOND, rightSocket=GREEN TRIANGLE, data=1-----3-3----2-2-----
id=112, plug=CYAN STAR, leftSocket=GREEN TRIANGLE, rightSocket=BLACK PENTAGON, data=-----3------2--------
id=113, plug=YELLOW CIRCLE, leftSocket=RED STAR, rightSocket=WHITE OCTAGON, data=--------------------1
id=114, plug=BLUE OCTAGON, leftSocket=CYAN STAR, rightSocket=YELLOW SQUARE, data=---------------------
id=115, plug=GREEN DIAMOND, leftSocket=BLACK SQUARE, rightSocket=YELLOW SQUARE, data=-----3------2-------1
id=116, plug=RED DIAMOND, leftSocket=GREEN STAR, rightSocket=GREEN SQUARE, data=--------------------1
id=117, plug=WHITE STAR, leftSocket=GREEN CIRCLE, rightSocket=RED CIRCLE, data=--------------------1
id=118, plug=BLACK CIRCLE, leftSocket=BLACK TRIANGLE, rightSocket=GREEN HEXAGON, data=----3------2--------1
id=119, plug=BLACK HEXAGON, leftSocket=BLUE STAR, rightSocket=BLACK DIAMOND, data=---------------------
id=120, plug=CYAN CIRCLE, leftSocket=WHITE TRIANGLE, rightSocket=YELLOW HEXAGON, data=------3--3---2--2----
id=121, plug=YELLOW CIRCLE, leftSocket=GREEN PENTAGON, rightSocket=CYAN HEXAGON, data=1------3------2------
id=122, plug=WHITE CIRCLE, leftSocket=MAGENTA SQUARE, rightSocket=CYAN SQUARE, data=1--------------------
id=123, plug=BLUE SQUARE, leftSocket=GREEN PENTAGON, rightSocket=BLACK SQUARE, data=1--------------------
