S1 : 0 -> 96 : FROM START TO END
S84 : 90 -> 94 : FROM S83 TO S21
S85 : 32 -> 93 : FROM S1 TO S39
S86 : 85 -> 87 : FROM S36 TO S64
S87 : 40 -> 53 : FROM S11 TO S36
S88 : 69 -> 71 : FROM S81 TO S50
S89 : 88 -> 94 : FROM S2 TO S1
S90 : 28 -> 75 : FROM S1 TO S81
S91 : 55 -> 72 : FROM S12 TO S56
S92 : 24 -> 37 : FROM S15 TO S45
S93 : 90 -> 92 : FROM S32 TO S9
S94 : 10 -> 57 : FROM S55 TO S40
S95 : 36 -> 60 : FROM S1 TO S16
S96 : 48 -> 69 : FROM S45 TO S52
S97 : 57 -> 73 : FROM S51 TO S1
S98 : 43 -> 73 : FROM S87 TO S1
S99 : 66 -> 69 : FROM S54 TO S24
S100 : 16 -> 93 : FROM S1 TO S42
S101 : 80 -> 90 : FROM S64 TO S52
S102 : 45 -> 60 : FROM S81 TO S49
S103 : 91 -> 93 : FROM S26 TO S29
S104 : 59 -> 92 : FROM S1 TO S58
S105 : 7 -> 22 : FROM S1 TO S25
S106 : 92 -> 95 : FROM S103 TO S1
S107 : 56 -> 95 : FROM S98 TO S1
S108 : 86 -> 93 : FROM S86 TO S19
S109 : 62 -> 72 : FROM S97 TO S50
S110 : 13 -> 88 : FROM S1 TO S108
S111 : 93 -> 95 : FROM S3 TO S1
S112 : 30 -> 77 : FROM S92 TO S49
S113 : 93 -> 95 : FROM S37 TO S1
S114 : 86 -> 94 : FROM S12 TO S21
S115 : 15 -> 50 : FROM S1 TO S12
S116 : 93 -> 95 : FROM S9 TO S1
S117 : 90 -> 95 : FROM S29 TO S1
S118 : 91 -> 94 : FROM S114 TO S113
S119 : 45 -> 79 : FROM S49 TO S13
S120 : 4 -> 88 : FROM S1 TO S1
S121 : 36 -> 66 : FROM S46 TO S96
S122 : 89 -> 95 : FROM S14 TO S1
S123 : 38 -> 66 : FROM S112 TO S110
S124 : 86 -> 94 : FROM S86 TO S111
S125 : 6 -> 79 : FROM S1 TO S48
S126 : 70 -> 95 : FROM S43 TO S1
S127 : 57 -> 82 : FROM S16 TO S83
S128 : 91 -> 93 : FROM S58 TO S22
S129 : 26 -> 87 : FROM S25 TO S36
S130 : 26 -> 62 : FROM S1 TO S76
S131 : 62 -> 70 : FROM S123 TO S112
S132 : 46 -> 72 : FROM S102 TO S110
S133 : 84 -> 87 : FROM S48 TO S18
S134 : 93 -> 95 : FROM S77 TO S1
S135 : 21 -> 34 : FROM S1 TO S27
S136 : 70 -> 90 : FROM S88 TO S29
S137 : 65 -> 84 : FROM S69 TO S136
S138 : 62 -> 93 : FROM S98 TO S8
S139 : 81 -> 91 : FROM S48 TO S126
S140 : 32 -> 78 : FROM S1 TO S110
S141 : 35 -> 63 : FROM S80 TO S54
S142 : 59 -> 77 : FROM S97 TO S104
S143 : 30 -> 94 : FROM S54 TO S31
S144 : 92 -> 94 : FROM S128 TO S83
S145 : 24 -> 29 : FROM S1 TO S35
S146 : 78 -> 84 : FROM S63 TO S64
S147 : 91 -> 95 : FROM S84 TO S1
S148 : 59 -> 67 : FROM S127 TO S107
S149 : 60 -> 82 : FROM S60 TO S54
S150 : 20 -> 84 : FROM S1 TO S76

Possible Moves : 1, 2, 3, 4, 7
