A=9046 B=9901 C=9072 X=167764763 Y=5227605436 Z=45968984442 M=2329
A=3175 B=6454 C=9260 X=238781767 Y=5576945430 Z=14400427647 M=7953
A=7267 B=4231 C=9811 X=387601073 Y=5294671679 Z=80113062459 M=1379
A=5786 B=8950 C=5674 X=124528481 Y=6706250385 Z=14954171891 M=9765
A=8061 B=6245 C=5423 X=258231692 Y=4481219888 Z=79316868489 M=8267
A=7372 B=6103 C=6339 X=913717962 Y=5229773426 Z=60080626229 M=4155
A=3762 B=5875 C=7899 X=846565675 Y=8006352885 Z=98104714967 M=5894
A=4968 B=3723 C=6759 X=843067010 Y=2835858920 Z=63386366949 M=1168
A=3873 B=9935 C=7694 X=152862773 Y=8386136159 Z=60595239660 M=9803
A=5859 B=5141 C=8996 X=945108018 Y=8242517638 Z=39404711364 M=8047
A=2366 B=7220 C=8130 X=953189322 Y=5607687952 Z=79751328186 M=5972
A=8619 B=6320 C=8044 X=983272171 Y=1310661216 Z=68468981587 M=3133
A=9110 B=4749 C=9793 X=847719116 Y=5688842824 Z=58709474974 M=4587
A=6213 B=3044 C=7690 X=235498017 Y=2688268160 Z=72695514048 M=3283
A=4149 B=3017 C=8050 X=925121280 Y=4534580897 Z=25420044997 M=8857
A=2598 B=4270 C=8886 X=220038176 Y=7889917117 Z=96905994036 M=2369
A=5301 B=3561 C=7280 X=162405714 Y=8675427210 Z=93332234366 M=4835
A=7584 B=9922 C=8785 X=523043129 Y=3082807717 Z=80096077877 M=1340
A=6055 B=9908 C=5941 X=872399584 Y=6742048909 Z=71304819877 M=9004
A=8400 B=4850 C=9669 X=792566622 Y=1008414762 Z=43291712166 M=8696
A=4258 B=8734 C=7876 X=501194110 Y=5488239098 Z=97425262144 M=1870
A=3146 B=8473 C=5795 X=825249655 Y=9120470061 Z=29532870633 M=9263
A=2313 B=9481 C=6553 X=328702097 Y=7305872079 Z=65146281819 M=4974
A=4891 B=3633 C=6391 X=506323626 Y=9230178068 Z=39238220823 M=5614
A=8029 B=8209 C=9401 X=595556743 Y=6838770894 Z=38763784065 M=5449
A=2190 B=8680 C=6486 X=327231782 Y=9671361781 Z=26177887706 M=4097
A=6858 B=9131 C=7992 X=355994463 Y=5481059864 Z=94854635660 M=3221
A=6070 B=3113 C=6554 X=321521259 Y=7144707345 Z=57492372738 M=2623
A=7131 B=4947 C=9208 X=653748807 Y=6267031114 Z=72527453858 M=7969
A=2865 B=4054 C=6158 X=103496545 Y=5030630495 Z=88068574859 M=8890
A=2531 B=4693 C=9239 X=850440152 Y=6189087443 Z=31273091039 M=4626
A=7217 B=3247 C=9494 X=969522141 Y=7418783946 Z=43130204700 M=3571
A=3881 B=8534 C=7902 X=415462231 Y=4257630598 Z=52803344130 M=6988
A=5623 B=7547 C=9724 X=337822042 Y=4951860304 Z=83594386451 M=4220
A=8942 B=5405 C=5134 X=531628313 Y=1336039413 Z=58428360263 M=7934
A=5508 B=8767 C=5123 X=713702144 Y=1375247602 Z=71343371071 M=4383
A=5770 B=7898 C=9015 X=172807778 Y=5658588290 Z=97852828930 M=4318
A=7688 B=6686 C=9204 X=703930279 Y=6626724816 Z=91853109194 M=8240
A=7346 B=6489 C=6894 X=458847066 Y=5368036974 Z=80184210155 M=2232
A=9626 B=9584 C=9578 X=322975797 Y=4571273879 Z=13358236135 M=1474
A=5294 B=9666 C=7488 X=876320417 Y=6464469035 Z=82884457668 M=3342
A=8458 B=9279 C=8414 X=190595600 Y=3644814390 Z=57959682779 M=4291
A=6300 B=8049 C=6079 X=114511928 Y=1200949576 Z=58687039378 M=8473
A=8893 B=9342 C=5868 X=770263098 Y=1020466911 Z=69191369844 M=5842
A=8723 B=7085 C=8846 X=786563550 Y=8000680656 Z=61433796768 M=8028
A=4176 B=9764 C=6298 X=314095803 Y=5458925796 Z=43629446548 M=5790
A=8472 B=9159 C=8224 X=130882703 Y=6240086907 Z=69064820271 M=8797
A=2728 B=7739 C=6505 X=567247759 Y=8107630379 Z=31706627269 M=7513
A=8195 B=5204 C=6334 X=547999561 Y=4380888388 Z=32044830328 M=8489
A=7503 B=7881 C=6361 X=661564263 Y=9155290123 Z=70765819508 M=3597
A=6125 B=8588 C=5786 X=600185566 Y=8675026301 Z=44858771825 M=8362
A=8380 B=3143 C=9460 X=242507895 Y=7332567952 Z=93533079155 M=8846
A=4657 B=5676 C=8648 X=819075558 Y=1936559150 Z=45678012342 M=3016
A=5909 B=5072 C=5895 X=297625538 Y=9250208763 Z=60558312153 M=2298
A=2046 B=5103 C=6460 X=720950739 Y=4148367252 Z=18517238350 M=2727
A=9051 B=7873 C=6635 X=725528476 Y=8238727198 Z=99028320291 M=6507
A=5156 B=4373 C=5131 X=228876823 Y=7148071488 Z=39998260792 M=2875
A=7380 B=7422 C=7433 X=329428413 Y=4659444103 Z=76664149591 M=5931
A=5955 B=9802 C=6261 X=705763668 Y=6333530473 Z=28854174005 M=3426
A=6698 B=9550 C=6341 X=655612674 Y=3054083369 Z=23556492050 M=3775
A=4954 B=7631 C=8502 X=518570364 Y=7304161494 Z=42373787474 M=5250
A=5177 B=8255 C=6325 X=168198299 Y=9412505430 Z=56029747196 M=8617
A=6023 B=4290 C=9494 X=455821999 Y=9477119425 Z=14208973976 M=9520
A=8674 B=7080 C=9837 X=898265335 Y=1581802150 Z=54791173519 M=2747
A=8915 B=7872 C=7853 X=932670068 Y=1594426127 Z=54415667588 M=7694
A=2237 B=5165 C=8328 X=124818075 Y=6166200920 Z=34858442708 M=3827
A=7675 B=3184 C=7710 X=409587099 Y=3655027018 Z=40108330487 M=5754
A=7944 B=8127 C=8123 X=215814220 Y=4855607950 Z=22092290607 M=6738
A=6170 B=4923 C=9857 X=799028220 Y=9137045387 Z=55295128162 M=3033
A=9241 B=6420 C=9794 X=578683740 Y=4184022136 Z=22902118696 M=9807
A=4600 B=8803 C=7415 X=355253331 Y=7201709979 Z=33736383126 M=8763
A=8714 B=4601 C=9380 X=897579869 Y=2894915122 Z=61912380766 M=9265
A=4230 B=6727 C=6068 X=168582516 Y=3917265591 Z=45804008251 M=2114
A=5275 B=4878 C=6257 X=115084845 Y=2786778970 Z=96554778992 M=7728
A=4942 B=7616 C=9380 X=900300577 Y=2026538063 Z=29279578142 M=3825
A=4216 B=4722 C=5147 X=676212594 Y=1905780791 Z=25384568564 M=3150
A=3200 B=4263 C=8654 X=391959814 Y=6188720749 Z=30708826611 M=5157
A=8975 B=3610 C=6215 X=184948739 Y=8347377584 Z=47447118005 M=7518
A=2116 B=7121 C=6269 X=638579825 Y=3877058849 Z=53799105851 M=8061
A=3037 B=5276 C=9256 X=651579370 Y=3705470051 Z=29551276789 M=7640
A=9973 B=8152 C=9291 X=463369521 Y=9583543782 Z=82429219674 M=6286
A=5264 B=8912 C=8771 X=374665319 Y=5613384532 Z=65876706206 M=1261
A=8240 B=7126 C=8542 X=820157065 Y=6071467086 Z=26707826058 M=5694
A=4155 B=7721 C=8526 X=649507561 Y=7948824583 Z=33751181193 M=6124
A=8349 B=6573 C=5120 X=122433977 Y=4476790677 Z=30317701092 M=2969
A=9625 B=5341 C=9433 X=913896685 Y=9096662779 Z=77526730923 M=4678
A=5520 B=7843 C=9609 X=844085172 Y=1294984748 Z=63537469875 M=6190
A=5002 B=9333 C=6007 X=826652100 Y=7858586532 Z=38116800233 M=3372
A=3000 B=7997 C=5592 X=990057986 Y=7393957518 Z=59633659911 M=1240
A=9723 B=3722 C=8399 X=225561580 Y=5377213743 Z=65055175575 M=7799
A=4778 B=3388 C=7423 X=428249211 Y=3141889527 Z=38186632854 M=1622
A=8619 B=8517 C=9612 X=361825069 Y=7639376378 Z=81073313073 M=6883
A=5302 B=9658 C=6883 X=957625057 Y=2358950726 Z=88659664963 M=2497
A=7490 B=7883 C=8930 X=613741299 Y=8676751391 Z=39127690016 M=6301
A=3354 B=4635 C=7892 X=404801551 Y=1746839742 Z=49346427870 M=2633
A=7297 B=3323 C=5481 X=488049556 Y=6825605874 Z=48856029672 M=8872
A=6991 B=4842 C=6656 X=137918546 Y=2504188980 Z=79425457030 M=8445
A=4078 B=6383 C=6473 X=828079303 Y=9819558810 Z=41351590327 M=2518
A=2267 B=8568 C=8339 X=120144952 Y=5408299601 Z=95682225027 M=9770
A=8937 B=9635 C=7301 X=547665040 Y=3034317340 Z=35176110182 M=1915
A=6105 B=6278 C=9915 X=669840664 Y=1125696958 Z=13223014880 M=5022
A=5755 B=8708 C=5028 X=950544825 Y=4615991804 Z=15372104869 M=5388
A=4126 B=5981 C=9656 X=488225414 Y=4042423594 Z=89948955046 M=6771
A=3231 B=6097 C=8625 X=943009921 Y=7781859226 Z=73967949010 M=6209
A=7335 B=4147 C=5929 X=173872527 Y=2989272489 Z=92093548364 M=1831
A=4810 B=6065 C=7332 X=617033530 Y=3070102244 Z=10396774015 M=2747
A=5656 B=7697 C=6645 X=884204933 Y=1953842676 Z=15863663286 M=6608
A=6671 B=7122 C=7863 X=418110906 Y=7020390429 Z=75079127691 M=4396
A=7184 B=9316 C=8355 X=691014993 Y=6171082396 Z=30375553162 M=3633
A=3660 B=8274 C=5740 X=807014964 Y=6034481161 Z=81715161004 M=1993
A=6148 B=4826 C=9062 X=376108790 Y=4229609925 Z=53372445406 M=4141
A=5007 B=9504 C=6915 X=239332034 Y=1414375538 Z=22571025744 M=9713
A=7770 B=7387 C=9838 X=979600566 Y=4984623065 Z=96119083823 M=2610
A=7647 B=7618 C=6093 X=396706656 Y=6018549269 Z=12089470711 M=4507
A=7504 B=4115 C=8768 X=416659979 Y=7583700439 Z=74352739791 M=1785
A=4114 B=6380 C=9343 X=765826401 Y=6253864252 Z=37507511624 M=5702
A=8803 B=8127 C=8497 X=445818247 Y=8730726030 Z=63564037981 M=3846
A=7601 B=3783 C=9958 X=254984375 Y=4744460809 Z=28682616607 M=9483
A=9148 B=6701 C=8266 X=749613190 Y=4575435522 Z=14253462076 M=6829
A=7320 B=7934 C=9754 X=500898127 Y=7892043869 Z=99404707408 M=9800
A=3170 B=3968 C=6651 X=665117874 Y=9560730665 Z=31216824969 M=6501
A=7910 B=7232 C=8769 X=968337699 Y=3260148271 Z=49817261142 M=6684
A=3082 B=6862 C=8998 X=991310102 Y=7501802901 Z=12950947988 M=7449
A=8513 B=5440 C=6391 X=724030813 Y=8903410844 Z=57493271732 M=5777
A=8657 B=4964 C=6664 X=623678900 Y=5882938738 Z=26203332192 M=7724
A=9683 B=7627 C=8965 X=240197320 Y=2958171187 Z=85330430863 M=7683
A=6518 B=9258 C=5748 X=708186478 Y=7496069872 Z=51958900492 M=3660
A=3276 B=7574 C=8950 X=794585048 Y=7709286439 Z=64504355397 M=7047
A=5444 B=3537 C=6595 X=422764868 Y=4304279682 Z=88518505862 M=5566
A=2831 B=7496 C=7943 X=461995028 Y=2279521416 Z=42196653330 M=1517
A=2634 B=4663 C=9741 X=633768700 Y=2340646096 Z=20349125651 M=5690
A=5790 B=5867 C=8676 X=736637524 Y=1752944783 Z=55944747626 M=9152
A=2838 B=6682 C=8662 X=265172536 Y=4205151654 Z=49444872914 M=4066
A=8529 B=7211 C=6986 X=517366638 Y=8668678263 Z=94897786374 M=5728
A=9829 B=9687 C=7204 X=786630241 Y=6959144592 Z=60684672485 M=6431
A=7686 B=4280 C=9416 X=230602484 Y=8817211935 Z=38741273951 M=5291
A=7817 B=3536 C=9831 X=833825445 Y=2307624370 Z=90838892452 M=6515
A=2914 B=4889 C=5339 X=539522567 Y=9432957627 Z=53043358423 M=1391
A=8413 B=6488 C=7560 X=118882907 Y=7326059260 Z=85700462249 M=1125
A=9458 B=9438 C=9994 X=929191173 Y=1732222339 Z=93272700524 M=2228
A=5779 B=4536 C=6053 X=631810706 Y=7976973753 Z=18312266863 M=2101
A=4478 B=6171 C=7797 X=621722853 Y=3289827505 Z=44126593421 M=2403
A=5140 B=6377 C=5833 X=106905761 Y=1406538745 Z=18695846388 M=8855
A=8564 B=9666 C=7661 X=253883611 Y=1359631269 Z=88142009373 M=3553
A=5725 B=4608 C=8023 X=674138988 Y=6107208847 Z=90219179125 M=8964
A=8473 B=4907 C=7842 X=690585183 Y=8375387133 Z=77948518841 M=5298
A=9266 B=9485 C=6454 X=957106319 Y=9790401857 Z=70644111177 M=2433
A=6689 B=9467 C=6425 X=230286965 Y=3118757581 Z=19204673551 M=3518
A=8498 B=3871 C=5616 X=752932217 Y=2908949785 Z=38968345456 M=3817
A=7266 B=9048 C=6060 X=874108193 Y=3648463195 Z=28230831444 M=8176
A=5957 B=7911 C=7147 X=457003998 Y=3768602693 Z=41138251688 M=3888
A=8461 B=6219 C=9870 X=536894450 Y=1775169011 Z=66259328089 M=4495
A=4425 B=3157 C=5801 X=508672202 Y=4593554911 Z=96404865279 M=8511
A=3336 B=7052 C=7158 X=136747136 Y=2369041557 Z=41515963690 M=1988
A=4583 B=5535 C=9031 X=598002757 Y=8658886286 Z=63882709296 M=7250
A=7278 B=6266 C=8015 X=554671487 Y=4203514146 Z=15765578195 M=3596
A=9669 B=4996 C=7561 X=363824037 Y=5573178250 Z=50743554338 M=5110
A=5544 B=5203 C=8823 X=695265841 Y=1264287905 Z=82117744535 M=9764
A=4764 B=9502 C=7463 X=179191460 Y=3465579817 Z=24290633053 M=3028
A=2966 B=5578 C=6337 X=484758150 Y=3259166719 Z=99542153780 M=1896
A=2027 B=3319 C=7295 X=746006992 Y=9386557268 Z=89327924570 M=1570
A=4728 B=7790 C=5821 X=911041345 Y=3113519545 Z=16938057858 M=1366
A=6819 B=8421 C=7541 X=411377719 Y=1676324385 Z=50520401388 M=9775
A=9324 B=4749 C=5679 X=359342344 Y=9850700568 Z=65074480869 M=3741
A=7540 B=7935 C=8561 X=429144486 Y=3718810072 Z=89312566581 M=3984
A=9990 B=3963 C=6128 X=167928340 Y=9063600397 Z=79764208932 M=8648
A=2713 B=3186 C=9170 X=476276212 Y=3236697406 Z=64836586871 M=2952
A=4494 B=9861 C=9363 X=424243164 Y=3062857747 Z=29700447127 M=6101
A=7591 B=7723 C=5121 X=236806386 Y=5923467051 Z=35501808615 M=7388
A=2745 B=3454 C=6930 X=809517202 Y=7428859418 Z=86855868144 M=3035
A=4893 B=5769 C=5866 X=779785358 Y=9479949150 Z=71959286591 M=1159
A=4892 B=4536 C=6765 X=960200616 Y=2340965707 Z=77721229033 M=9261
A=7979 B=4200 C=7708 X=366478499 Y=9547095025 Z=22528423461 M=7942
A=9718 B=4315 C=7943 X=291391931 Y=2459870980 Z=29450940101 M=2085
A=8857 B=9840 C=8481 X=525525960 Y=3235438508 Z=27121332319 M=8332
A=9773 B=9742 C=6355 X=346151052 Y=1796261103 Z=78929293462 M=9556
A=7634 B=4040 C=8009 X=354988331 Y=5371904895 Z=40586993524 M=5588
A=5236 B=8991 C=7039 X=521160054 Y=5497417655 Z=88986371379 M=7338
A=3402 B=9951 C=5227 X=712289778 Y=8881620536 Z=16287742200 M=8789
A=4685 B=7223 C=5140 X=637121368 Y=1896265632 Z=46777692539 M=3791
A=5790 B=7797 C=5933 X=431503904 Y=7179900062 Z=28485522959 M=2172
A=9774 B=3708 C=5111 X=713587815 Y=5693720039 Z=91480763763 M=8283
A=7169 B=9921 C=6067 X=523442751 Y=4273324225 Z=44613304052 M=5124
A=2871 B=6078 C=9640 X=598164619 Y=5959395235 Z=18496962844 M=2005
A=2268 B=9508 C=7193 X=159247705 Y=7047344325 Z=10699116460 M=5721
A=7907 B=9904 C=6007 X=864160361 Y=6341875323 Z=69332450394 M=3296
A=2522 B=8682 C=9256 X=994007718 Y=8323769004 Z=45479471877 M=7061
A=2342 B=8842 C=6997 X=391470085 Y=8212912473 Z=43481250997 M=5446
A=6663 B=5039 C=7060 X=890049237 Y=9429739685 Z=80039185320 M=9754
A=4681 B=7557 C=6290 X=659141821 Y=7272895832 Z=24483359760 M=4692
A=9441 B=5375 C=7716 X=395196173 Y=9527954441 Z=98174085424 M=6956
A=4602 B=8486 C=7360 X=362882720 Y=8317403877 Z=62660019033 M=4160
A=4422 B=8691 C=9544 X=867069807 Y=6829382721 Z=26324625707 M=2846
A=8034 B=4138 C=9791 X=348080491 Y=8997893576 Z=65982643498 M=9138
A=4124 B=6876 C=9339 X=779501709 Y=7737488484 Z=54242397686 M=9007
A=5593 B=7883 C=5508 X=645015293 Y=2756505710 Z=29508178432 M=6642
A=8510 B=8804 C=5063 X=816149747 Y=4893825669 Z=81855291850 M=5001
A=8346 B=9149 C=5765 X=470237375 Y=2687455905 Z=23969799996 M=6609
A=6793 B=3941 C=6546 X=115558201 Y=3722336552 Z=22683582661 M=5426
A=6675 B=6638 C=5516 X=114089895 Y=7028553401 Z=67372727229 M=6920
A=9273 B=3114 C=9669 X=735917912 Y=2678010251 Z=64585404636 M=9582
A=5021 B=4267 C=6509 X=304864650 Y=4683257893 Z=98042067020 M=3246
A=6368 B=9102 C=9895 X=813164951 Y=9288435357 Z=77668929215 M=4479
A=9656 B=4169 C=6979 X=705922228 Y=4548819423 Z=48950951987 M=8460
A=5198 B=3849 C=6136 X=832025938 Y=4132217669 Z=68222530664 M=1283
A=8052 B=5843 C=6502 X=278328000 Y=2366486518 Z=39713021068 M=4383
A=5870 B=6042 C=8675 X=943031970 Y=3095963083 Z=39622414515 M=9206
A=8784 B=7142 C=9319 X=290325196 Y=3061257707 Z=33672907332 M=1317
A=5136 B=8826 C=7045 X=941514158 Y=9643011895 Z=49275349125 M=3786
A=8278 B=5006 C=7214 X=431009170 Y=2513600969 Z=63254112763 M=2632
A=8928 B=9236 C=6541 X=171108010 Y=8089052833 Z=47846054849 M=2010
A=8092 B=4802 C=5452 X=994694418 Y=3291783122 Z=40706532802 M=5368
A=4915 B=4129 C=9915 X=793667245 Y=3037915853 Z=91437255307 M=3076
A=8889 B=3868 C=6225 X=976828821 Y=8246412960 Z=39566383030 M=4028
A=4294 B=7962 C=6282 X=366298546 Y=4604777236 Z=73234419583 M=7976
A=7172 B=9630 C=5075 X=961755521 Y=9426324212 Z=14371307257 M=9805
A=3014 B=3524 C=7440 X=583945377 Y=4432250612 Z=25468445573 M=1253
A=9245 B=8000 C=5369 X=281218832 Y=6797502652 Z=12872038022 M=6854
A=2100 B=3936 C=8733 X=634575387 Y=9932411712 Z=86453127659 M=4845
A=4381 B=4394 C=5642 X=313978205 Y=8315813892 Z=91416250654 M=3713
A=6113 B=3117 C=6637 X=863681986 Y=6770810417 Z=49933858322 M=3996
A=5568 B=5575 C=6515 X=112612609 Y=3437728812 Z=77078458245 M=3983
A=2080 B=9845 C=7481 X=278388543 Y=3655816719 Z=64797311976 M=2971
A=4132 B=6888 C=7786 X=898902059 Y=7024979282 Z=57446670526 M=6424
A=4548 B=3032 C=8296 X=845712864 Y=4454573921 Z=52435798900 M=8809
A=8215 B=9700 C=7646 X=228343825 Y=4741849909 Z=82879961498 M=8216
A=2612 B=8587 C=8138 X=764991138 Y=2221228114 Z=37490247518 M=8915
A=7042 B=6582 C=6303 X=748563252 Y=5382320080 Z=31388656777 M=7447
A=4209 B=4275 C=5700 X=765999445 Y=7021583126 Z=44806258925 M=7539
A=8597 B=6506 C=5015 X=480441422 Y=8145532215 Z=69267185334 M=3209
A=6024 B=7950 C=7912 X=436535681 Y=5786517097 Z=84318898496 M=6723
A=2007 B=6042 C=6892 X=930513417 Y=4307255841 Z=13835692563 M=3124
A=3795 B=3154 C=8683 X=451030565 Y=6808484296 Z=59198832176 M=5934
A=7601 B=5057 C=9827 X=300345587 Y=3015933144 Z=16088738937 M=1005
A=7283 B=9894 C=8784 X=500337845 Y=7587043115 Z=10777789312 M=3199
A=8453 B=4525 C=9406 X=726268171 Y=6406431625 Z=43423981216 M=3021
A=8746 B=3503 C=6515 X=494001142 Y=8350657627 Z=37988331894 M=7906
A=2558 B=8154 C=9582 X=308793440 Y=2782510846 Z=37871716577 M=3700
A=2667 B=5228 C=9945 X=330769550 Y=9336531840 Z=48445145650 M=5534
A=6474 B=3362 C=9863 X=822860096 Y=5658361705 Z=61371368343 M=1597
A=7401 B=5223 C=7360 X=883213191 Y=8983107009 Z=11703128794 M=5368
A=8680 B=8028 C=8480 X=236322891 Y=4578793977 Z=77989687445 M=8410
A=7429 B=9595 C=5824 X=432072859 Y=6564097208 Z=86391458029 M=7929
A=2219 B=4630 C=9145 X=883925021 Y=7425733838 Z=76540435659 M=3881
A=7070 B=7230 C=8192 X=206114137 Y=1936718635 Z=93278660562 M=4378
A=5694 B=3240 C=8320 X=328083317 Y=5440815941 Z=43402458402 M=3022
A=9425 B=5276 C=9505 X=998491661 Y=8521326485 Z=16405077617 M=1402
A=2445 B=5145 C=9576 X=226272582 Y=1565555672 Z=16001366422 M=5891
A=5785 B=3839 C=8451 X=873595878 Y=7721732814 Z=81617854456 M=5266
A=8119 B=5940 C=8104 X=338267959 Y=6997808081 Z=98556743606 M=7996
